country;year;experts;party_id;party;vote;seat;electionyear;family;govt;position;eu_salience;eu_dissent;eu_asylum;eu_budgets;lrgen;lrecon;lrecon_clear;lrecon_salience;galtan;galtan_clear;galtan_salience;immigrate_policy;immigra_salience;immigrate_dissent;multiculturalism;multicult_salience;multicult_dissent;ethnic_minorities;galtan_new;galtan_new_clear;galtan_new_salience;people_vs_elite;antielite_salience;corrupt_salience;members_vs_leadership;party_name;eu_position;eu_budget;immigrate_salience;multiculture;multiculture_salience;multiculture_dissent
the first;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
four lines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contain only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nonsense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
swe;2017;18;1612;FI;30.999.999;0,00;2014;9. no family;0;30.999.999;May 75;21.428.571;Feb 75;25.999.999;15.333.333;17.272.727;45.384.617;47.647.057;.8125;86.875;93.076.925;1;72.307.692;23.846.154;14.285.715;07. May;12.857.143;11.428.572;01. Apr;85.333.338;87.692.308;63.000.002;65.833.335;2;38.888.888;;;;;;;
cz;2017;14;2101;CSSD;73.000.002;43958,00;2017;5. socialist;.5;05. May;56.428.571;51.428.571;27.692.308;37.142.856;29.285.715;24.285.715;73.571.429;62.857.141;5;63.076.925;5;68.571.429;61.428.571;56.428.571;64.285.712;63.571.429;51.538.463;52.727.275;57.857.141;56.428.571;53.571.429;56.428.571;19.285.715;47.142.859;57.142.859;;;;;;;
cz;2017;14;2102;ODS;11. Mar;43963,00;2017;2. conservative;0;33.571.429;63.571.429;38.571.429;20.769.231;17.142.857;75.714.288;83.571.424;84.285.717;86.428.576;68.461.537;73.571.429;60.714.288;8;69.285.712;3;77.857.141;64.285.712;29.285.715;7;76.428.571;77.857.141;58.571.429;23.571.429;23.571.429;52.857.141;6;;;;;;;
cz;2017;14;2103;KSCM;78.000.002;43958,00;2017;6. radical left;0;2;43.571.429;16.153.846;15.384.616;12.142.857;.85714287;.5;76.428.571;58.571.429;82.857.141;82.142.859;59.285.712;88.571.424;71.428.571;14.285.715;90.714.283;62.142.859;1;82.307.692;83.571.424;84.285.717;62.142.859;67.142.859;67.857.141;57.857.141;72.307.692;;;;;;;
cz;2017;14;2104;KDU-CSL;58.000.002;5,00;2017;4. Christian-democratic;.5;62.142.859;63.571.429;20.714.285;34.615.386;41.428.571;54.285.712;48.571.429;65.714.288;55.714.288;77.142.859;8;7;65.714.288;52.142.859;35.714.285;72.142.859;53.571.429;4;05. May;72.857.141;69.285.712;62.857.141;38.461.537;16.428.572;44.285.712;56.428.571;;;;;;;
cz;2017;14;2109;TOP09;53.000.002;43954,00;2017;2. conservative;0;68.571.429;81.428.576;.71428573;46.153.846;45.714.288;74.285.712;77.857.141;79.285.712;74.285.712;50.714.288;69.285.712;68.571.429;46.428.571;50.714.288;37.142.856;47.142.859;51.428.571;35.714.285;03. May;52.857.141;06. May;68.571.429;32.142.856;16.428.572;56.428.571;62.142.859;;;;;;;
cz;2017;14;2111;ANO;29. Jun;39,00;2017;9. no family;1;40.714.288;04. May;37.692.308;Feb 25;21.538.463;49.230.771;58.461.537;3;64.285.712;51.428.571;3;29.285.715;76.428.571;66.428.571;23.571.429;77.857.141;57.857.141;22.142.856;66.999.998;63.076.925;3;3;62.142.859;91.428.576;86.428.576;98.571.424;;;;;;;
cz;2017;14;2114;Pirates;10. Aug;11,00;2017;9. no family;0;52.142.859;44.285.712;40.833.335;41.999.998;3.625;53.000.002;58.333.335;31.538.463;41.428.571;12.307.693;70.714.288;7;46.363.635;4;36.666.667;39.000.001;32.727.273;44.444.447;3.375;18.571.428;64.285.712;64.285.712;75.714.288;81.538.458;9;23.076.923;;;;;;;
cz;2017;14;2115;SPD;Oct 64;11,00;2017;1. radical TAN;0;10.714.285;76.428.571;.14285715;1;1;82.307.692;49.166.665;20.769.231;25.714.285;9.083.333;70.714.288;68.571.429;99.285.717;99.285.717;.14285715;97.857.141;92.142.859;.071428575;99.285.717;95.714.283;88.571.424;84.285.717;97.142.859;99.285.717;08. May;98.571.424;;;;;;;
cz;2017;14;2116;STAN;51.999.998;3,00;2017;9. no family;0;61.428.571;59.285.712;15.384.616;03. Aug;42.222.223;65.714.288;06. May;56.428.571;57.142.859;49.230.771;47.857.141;51.428.571;53.333.335;33.846.154;03. Mar;55.555.553;31.818.182;33.636.363;48.571.429;52.307.692;Apr 75;46.363.635;37.272.727;23.076.923;62.307.692;5;;;;;;;
